Steps (m),MeanDistance (d),Square root of Steps (m),Log (m),Log (d)
18630,118.7007074,136.491758,14.18534005,6.891184723
18632,118.7088308,136.4990842,14.18549492,6.891283452
18634,122.0617229,136.5064101,14.18564978,6.931467049
18636,122.1103058,136.5137356,14.18580462,6.932041155
18638,122.0727099,136.5210606,14.18595944,6.931596903
18640,118.3535006,136.5283853,14.18611424,6.886958568
18642,121.7664196,136.5357096,14.18626903,6.927972515
18644,120.7113317,136.5430335,14.1864238,6.915417305
18646,121.8632164,136.550357,14.18657855,6.929118914
18648,121.1597778,136.5576801,14.18673329,6.920767027
18650,122.6832582,136.5650028,14.18688801,6.938794577
18652,123.6145847,136.5723252,14.18704271,6.94970516
18654,121.2950874,136.5796471,14.1871974,6.92237731
18656,122.3328988,136.5869686,14.18735207,6.934668628
18658,117.6926379,136.5942898,14.18750673,6.878880268
18660,122.3071512,136.6016105,14.18766137,6.93436495
18662,122.9333709,136.6089309,14.18781599,6.941732785
18664,120.5576975,136.6162509,14.18797059,6.913579958
18666,119.957851,136.6235704,14.18812518,6.906383772
18668,117.9014429,136.6308896,14.18827975,6.881437564
18670,121.1500454,136.6382084,14.18843431,6.920651135
18672,122.7558783,136.6455268,14.18858885,6.939648301
18674,121.1049797,136.6528448,14.18874337,6.920114377
18676,120.6835137,136.6601624,14.18889787,6.915084797
